"Date","FIPS","Completeness_pct","SVI_CTGY","Census2019","tVaccMi"
2022-05-14,"55089",96.8,"A",89221,395.621321130631
2022-05-14,"01035",92.5,"D",12067,491.592597016171
2022-05-14,"05097",90.5,"C",8986,602.040640626228
2022-05-14,"05107",90.5,"D",17782,468.753087947709
2022-05-14,"06001",97.6,"B",1671329,1957.94602973236
2022-05-14,"06055",97.6,"C",137744,1962.96885530732
2022-05-14,"08015",97.1,"A",20356,1127.9722968089
2022-05-14,"12087",98.7,"B",74228,899.990733137992
2022-05-14,"13031",89.4,"D",79608,474.482336205458
2022-05-14,"13309",89.4,"D",7855,458.012119662839
2022-05-14,"19049",97.4,"A",93453,522.006108590773
2022-05-14,"19143",97.4,"B",5958,631.655114596946
2022-05-14,"17011",98.3,"B",32628,349.329720949726
2022-05-14,"18159",98.6,"A",15148,279.063719403944
2022-05-14,"21001",94,"C",19202,175.673635360959
2022-05-14,"21051",94,"D",19901,254.915161617491
2022-05-14,"21125",94,"D",60813,232.14283754129
2022-05-14,"21161",94,"C",17070,267.786170533741
2022-05-14,"21187",94,"C",10901,238.462084615934
2022-05-14,"21195",94,"D",57876,325.342931222322
2022-05-14,"22123",96.9,"C",10830,563.986199822752
2022-05-14,"23021",96.2,"B",16785,992.151807574947
2022-05-14,"26069",95.1,"B",25127,448.525616658613
2022-05-14,"26127",95.1,"D",26467,405.992069359619
2022-05-14,"27059",94.6,"A",40596,653.65825562296
2022-05-14,"27095",94.6,"C",26277,683.280578095724
2022-05-14,"29005",91.3,"A",5143,568.90606152031
2022-05-14,"29021",91.3,"C",87364,539.708283650327
2022-05-14,"28163",98.1,"D",29690,519.047934393232
2022-05-14,"30057",95.8,"A",8600,1404.24471800246
2022-05-14,"37137",96.9,"C",12726,632.78196913542
2022-05-14,"37145",96.9,"D",39490,493.460625826163
2022-05-14,"37157",96.9,"D",91010,458.009140369626
2022-05-14,NA,96.9,"",NA,NA
2022-05-14,"31081",90.7,"A",9324,697.008274357214
2022-05-14,"31121",90.7,"A",7755,698.866917644434
