"","glpk","ecos","scs","lpsolve"
"55089",0,4.84827075732972e-14,-1.8388896451189e-10,0
"1035",0,4.83463999567498e-14,1.44485904648354e-12,0
"5097",0,4.83381434775414e-14,5.66814442431112e-11,0
"5107",0,4.83846192256497e-14,-1.08622465842236e-10,0
"6001",0,4.90926863345896e-14,-2.42265271725973e-10,0
"6055",0,4.8343296807541e-14,1.9413990483018e-11,0
"8015",0,4.83218323317939e-14,1.36824925591554e-10,0
"12087",0,4.83316550399899e-14,1.25083421414726e-10,0
"13031",0,4.89343614103973e-14,-2.37620628493145e-10,0
"13309",0,4.83459397915409e-14,3.93632336781238e-12,0
"19049",0,4.8410376730634e-14,-1.40358024149962e-10,0
"19143",0,4.83170763246974e-14,1.32774216936841e-10,0
"17011",0,4.83414170807526e-14,3.17812667116679e-11,0
"18159",0,4.8325994142567e-14,1.40279951571614e-10,0
"21001",0,4.84628098080217e-14,-1.75472483977595e-10,0
"21051",0,4.84111302333011e-14,-1.41073658147024e-10,0
"21125",0,4.8825546575854e-14,-2.32777692330085e-10,0
"21161",0,4.83898486242098e-14,-1.16451089830149e-10,0
"21187",0,4.83651796036629e-14,-6.89234034781319e-11,0
"21195",0,4.8602491286991e-14,-2.12615718088881e-10,0
"22123",0,4.83230861034757e-14,1.37871438383992e-10,0
"23021",0,4.83239218015535e-14,1.38566061297836e-10,0
"26069",0,4.83652273685591e-14,-6.90511520813691e-11,0
"26127",0,4.83751890754625e-14,-9.18707718183487e-11,0
"27059",0,4.83788204928444e-14,-9.87798985926633e-11,0
"27095",0,4.83511521881218e-14,-2.14970152670061e-11,0
"29005",0,4.83264682057172e-14,1.40661053440983e-10,0
"29021",0,4.87467637401813e-14,-2.27837996843217e-10,0
"28163",0,4.83319242543295e-14,1.2152250904585e-10,0
"30057",0,4.8317278798095e-14,1.32948206829916e-10,0
"37137",0,4.83235802857882e-14,1.38283146626303e-10,0
"37145",0,4.83595582737669e-14,-5.26650761823947e-11,0
"37157",0,4.84512143349266e-14,-1.69644758083685e-10,0
"31081",0,4.83348509099488e-14,8.74295739157071e-11,0
"31121",0,4.83309146177276e-14,1.352483759224e-10,0
"31127",0,4.83321517230484e-14,1.18588677679599e-10,0
"31157",0,4.83794963580402e-14,-9.99958482690206e-11,0
"31185",0,4.83471969546884e-14,-2.75067193955491e-12,0
"34029",0,5.30000371592396e-14,-3.18086631238001e-10,0
"36031",0,4.83337156232484e-14,9.97664829343656e-11,0
"39019",0,4.83316237793753e-14,1.25489042050048e-10,0
"39051",0,4.83488084103331e-14,-1.07785785174718e-11,0
"39101",0,4.83731587784096e-14,-8.77146627191277e-11,0
"39147",0,4.83598210089251e-14,-5.34972272480268e-11,0
"39159",0,4.8368566719418e-14,-7.74255001809476e-11,0
"40007",0,4.83194785477329e-14,1.34836666353068e-10,0
"40145",0,4.85043385000616e-14,-1.91329169285004e-10,0
"42133",0,5.11374748445974e-14,-3.04089762761429e-10,0
"72003",0,4.8322364266993e-14,1.3727417800766e-10,0
"72123",0,4.83196374035555e-14,1.34974666432086e-10,0
"45017",0,4.83531339087723e-14,-2.97661426869865e-11,0
"46023",0,4.83198450260932e-14,1.35143146134636e-10,0
"46107",0,4.8314363396299e-14,1.30401057585426e-10,0
"47183",0,4.83579496972853e-14,-4.74269405223575e-11,0
"48251",0,4.83551280024796e-14,-3.74661467490644e-11,0
"48449",0,4.83215507525168e-14,1.36589458636989e-10,0
"49051",0,4.83231968781469e-14,1.37973508578665e-10,0
"50013",0,4.83585006615082e-14,-4.92522726850109e-11,0
"55051",0,4.83177751111331e-14,1.33372646519629e-10,0
"55055",0,4.84711859494903e-14,-1.79233950980277e-10,0
"21209",0,4.87387173375746e-14,-2.27238306553980e-10,0
"21233",0,4.83750770755432e-14,-9.16422536881861e-11,0
"22029",0,4.83292630012861e-14,1.42922819470777e-10,0
"22059",0,4.83252091810284e-14,1.39636073829555e-10,0
"22087",0,4.83554375141628e-14,-3.86101460524373e-11,0
"26115",0,4.91413308054625e-14,-2.43324601257881e-10,0
"27123",0,5.19449154247259e-14,-3.11583552365748e-10,0
"29059",0,4.83715062597133e-14,-8.41625640253867e-11,0
"29201",0,4.85667351019099e-14,-2.06525488921524e-10,0
"28051",0,4.83242357918102e-14,1.38829025741208e-10,0
"28061",0,4.83233618051713e-14,1.38101010340372e-10,0
"30049",0,4.83497841902259e-14,-1.53663487312496e-11,0
"30071",0,4.83151272295145e-14,1.31070211855209e-10,0
"30111",0,4.84311627387144e-14,-1.57366324288842e-10,0
"37125",0,4.84566823071483e-14,-1.72491968776104e-10,0
"38069",0,4.83178430534756e-14,1.33436852922386e-10,0
"31147",0,4.83349767949105e-14,8.61257126530539e-11,0
"36021",0,4.83489568771616e-14,-1.14899097092607e-11,0
"36071",0,4.87253758830189e-14,-2.26196793474758e-10,0
